"Group","total_species","species_estimates","proportion","Country"
"Amphibians",33,10,0.303030303030303,"Canada"
"Arachnids",1,0,0,"Canada"
"Birds",119,63,0.529411764705882,"Canada"
"Clams",22,1,0.0454545454545455,"Canada"
"Conifers and Cycads",2,0,0,"Canada"
"Ferns and Allies",15,0,0,"Canada"
"Fishes",155,20,0.129032258064516,"Canada"
"Flowering Plants",216,3,0.0138888888888889,"Canada"
"Insects",73,4,0.0547945205479452,"Canada"
"Lichens",24,2,0.0833333333333333,"Canada"
"Mammals",90,33,0.366666666666667,"Canada"
"Mosses",26,0,0,"Canada"
"Reptiles",38,6,0.157894736842105,"Canada"
"Snails",27,0,0,"Canada"
