"Group","total_species","species_estimates","proportion","Country"
"Amphibians",33,10,0.303030303030303,"Canada"
"Arachnids",1,0,0,"Canada"
"Birds",119,63,0.529411764705882,"Canada"
"Clams",22,1,0.0454545454545455,"Canada"
"Conifers and Cycads",2,0,0,"Canada"
"Ferns and Allies",15,0,0,"Canada"
"Fishes",155,20,0.129032258064516,"Canada"
"Flowering Plants",216,3,0.0138888888888889,"Canada"
"Insects",73,4,0.0547945205479452,"Canada"
"Lichens",24,2,0.0833333333333333,"Canada"
"Mammals",90,33,0.366666666666667,"Canada"
"Mosses",26,0,0,"Canada"
"Reptiles",38,6,0.157894736842105,"Canada"
"Snails",27,0,0,"Canada"
"Amphibians",34,11,0.323529411764706,"USA"
"Arachnids",12,0,0,"USA"
"Birds",95,15,0.157894736842105,"USA"
"Clams",85,4,0.0470588235294118,"USA"
"Conifers and Cycads",4,0,0,"USA"
"Crustaceans",30,1,0.0333333333333333,"USA"
"Ferns and Allies",18,2,0.111111111111111,"USA"
"Fishes",114,9,0.0789473684210526,"USA"
"Flowering Plants",556,26,0.0467625899280576,"USA"
"Insects",71,4,0.0563380281690141,"USA"
"Lichens",2,0,0,"USA"
"Mammals",59,9,0.152542372881356,"USA"
"Reptiles",40,5,0.125,"USA"
"Snails",47,3,0.0638297872340425,"USA"
