"Group","total_species","species_estimates","proportion","Country"
"Amphibians",34,11,32.3529411764706,"USA"
"Arachnids",12,0,0,"USA"
"Birds",95,15,15.7894736842105,"USA"
"Clams",85,4,4.70588235294118,"USA"
"Conifers and Cycads",4,0,0,"USA"
"Crustaceans",30,1,3.33333333333333,"USA"
"Ferns and Allies",18,2,11.1111111111111,"USA"
"Fishes",114,9,7.89473684210526,"USA"
"Flowering Plants",556,26,4.67625899280576,"USA"
"Insects",71,4,5.63380281690141,"USA"
"Lichens",2,0,0,"USA"
"Mammals",59,9,15.2542372881356,"USA"
"Reptiles",40,5,12.5,"USA"
"Snails",47,3,6.38297872340426,"USA"
