Common Name,Scientific Name,num_papers,Group
Pink Sand-verbena,Abronia umbellata,0,Flowering Plants
Blackline Prickleback,Acantholumpenus mackayi,0,Fishes
Cooper's Hawk,Accipiter cooperii,0,Birds
Northern Goshawk atricapillus subspecies,Accipiter gentilis atricapillus,4,Birds
Sharp-shinned Hawk,Accipiter striatus,1,Birds
Large-headed Woolly Yarrow,Achillea millefolium var. megacephala,0,Flowering Plants
Shortnose Sturgeon,Acipenser brevirostrum,0,Fishes
Lake Sturgeon,Acipenser fulvescens,1,Fishes
Green Sturgeon,Acipenser medirostris,0,Fishes
Atlantic Sturgeon,Acipenser oxyrinchus,0,Fishes
White Sturgeon,Acipenser transmontanus,0,Fishes
Blanchard's Cricket Frog,Acris blanchardi,0,Amphibians
Chiselmouth,Acrocheilus alutaceus,0,Fishes
Rocky Mountain Capshell,Acroloxus coloradensis,0,Snails
Mountain Crab-eye,Acroscyphus sphaerophoroides,0,Lichens
Tall Bugbane,Actaea elata,0,Flowering Plants
Pacific Pond Turtle,Actinemys marmorata,0,Reptiles
Southern Maidenhair Fern,Adiantum capillus-veneris,0,Ferns and Allies
Western Grebe,Aechmophorus occidentalis,0,Birds
Northern Saw-whet Owl brooksi subspecies,Aegolius acadicus brooksi,1,Birds
Boreal Owl,Aegolius funereus,1,Birds
Red-tailed Leafhopper,Aflexia rubranura,0,Insects
Rough Agalinis,Agalinis aspera,0,Flowering Plants
Gattinger's Agalinis,Agalinis gattingeri,0,Flowering Plants
Skinner's Agalinis,Agalinis skinneriana,0,Flowering Plants
Dwarf Wedgemussel,Alasmidonta heterodon,0,Clams
Brook Floater,Alasmidonta varicosa,0,Clams
Colicroot,Aletris farinosa,0,Flowering Plants
Broad-banded Forestsnail,Allogona profunda,0,Snails
Oregon Forestsnail,Allogona townsendiana,0,Snails
Y-Prickleback,Allolumpenus hypochromus,0,Fishes
Blueback Herring,Alosa aestivalis,0,Fishes
Thorny Skate,Amblyraja radiata,0,Fishes
Northwestern Salamander,Ambystoma gracile,0,Amphibians
Jefferson Salamander,Ambystoma jeffersonianum,2,Amphibians
Unisexual Ambystoma,Ambystoma laterale - (2) jeffersonianum,1,Amphibians
Long-toed Salamander,Ambystoma macrodactylum,0,Amphibians
Western Tiger Salamander,Ambystoma mavortium,0,Amphibians
Small-mouthed Salamander,Ambystoma texanum,0,Amphibians
Eastern Tiger Salamander,Ambystoma tigrinum,0,Amphibians
Scarlet Ammannia,Ammannia robusta,0,Flowering Plants
Eastern Sand Darter,Ammocrypta pellucida,1,Fishes
Baird's Sparrow,Ammodramus bairdii,3,Birds
Henslow's Sparrow,Ammodramus henslowii,0,Birds
Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,2,Birds
"Grasshopper Sparrow, pratensis subspecies",Ammodramus savannarum pratensis,2,Birds
Northern Wolffish,Anarhichas denticulatus,0,Fishes
Atlantic Wolffish,Anarhichas lupus,0,Fishes
Spotted Wolffish,Anarhichas minor,0,Fishes
Bering Wolffish,Anarhichas orientalis,0,Fishes
Wolf-eel,Anarrhichthys ocellatus,0,Fishes
Edwards' Beach Moth,Anarta edwardsii,0,Insects
Western Toad,Anaxyrus boreas,2,Amphibians
Great Plains Toad,Anaxyrus cognatus,1,Amphibians
Fowler's Toad,Anaxyrus fowleri,2,Amphibians
Wandering Salamander,Aneides vagrans,0,Amphibians
American Eel,Anguilla rostrata,0,Fishes
Western Banded Tigersnail,Anguispira kochi occidentalis,0,Snails
Manitoba Oakworm Moth,Anisota manitobensis,0,Insects
Stoloniferous Pussytoes,Antennaria flagellaris,0,Flowering Plants
Sprague's Pipit,Anthus spragueii,2,Birds
Eastern Whip-poor-will,Antrostomus vociferus,2,Birds
Pallid Bat,Antrozous pallidus,0,Mammals
Black-foam Lichen,Anzia colpodes,0,Lichens
Spiny Softshell,Apalone spinifera,0,Reptiles
Mountain Beaver,Aplodontia rufa,0,Mammals
Mormon Metalmark,Apodemia mormo,0,Insects
Spike-lip Crater,Appalachina sayana,0,Snails
Brown Cat Shark,Apristurus brunneus,0,Fishes
Golden Eagle,Aquila chrysaetos,5,Birds
Great Blue Heron fannini subspecies,Ardea herodias fannini,1,Birds
Pink-footed Shearwater,Ardenna creatopus,0,Birds
Vivid Dancer,Argia vivida,0,Insects
Green Dragon,Arisaema dracontium,0,Flowering Plants
Forked Three-awned Grass,Aristida basiramea,0,Flowering Plants
Athabasca Thrift,Armeria maritima ssp. interior,0,Flowering Plants
Griscom’s Arnica,Arnica griscomii ssp. griscomii,0,Flowering Plants
Tuberous Indian-plantain,Arnoglossum plantagineum,0,Flowering Plants
Wood's Sagebrush,Artemisia rupestris ssp. woodii,0,Flowering Plants
Rocky Mountain Tailed Frog,Ascaphus montanus,0,Amphibians
Coastal Tailed Frog,Ascaphus truei,0,Amphibians
Four-leaved Milkweed,Asclepias quadrifolia,0,Flowering Plants
Spinynose Sculpin,Asemichthys taylori,0,Fishes
Short-eared Owl,Asio flammeus,1,Birds
American Hart's-tongue Fern,Asplenium scolopendrium var. americanum,0,Ferns and Allies
Fernald's Milk-vetch,Astragalus robbinsii var. fernaldii,0,Flowering Plants
Burrowing Owl,Athene cunicularia,2,Birds
Smooth Yellow False Foxglove,Aureolaria flava,0,Flowering Plants
Fern-leaved Yellow False Foxglove,Aureolaria pedicularia,0,Flowering Plants
Downy Yellow False Foxglove,Aureolaria virginica,0,Flowering Plants
Mexican Mosquito-fern,Azolla mexicana,0,Ferns and Allies
Eastern Baccharis,Baccharis halimifolia,0,Flowering Plants
Bowhead Whale,Balaena mysticetus,1,Mammals
Common Minke Whale North Pacific subspecies,Balaenoptera acutorostrata scammonii,0,Mammals
Sei Whale,Balaenoptera borealis,1,Mammals
Blue Whale,Balaenoptera musculus,1,Mammals
Fin Whale,Balaenoptera physalus,4,Mammals
Deltoid Balsamroot,Balsamorhiza deltoidea,0,Flowering Plants
Atlantic Mud-piddock,Barnea truncata,0,Clams
Branched Bartonia,Bartonia paniculata ssp. paniculata,0,Flowering Plants
Rigid Apple Moss,Bartramia aprica,0,Mosses
Haller's Apple Moss,Bartramia halleriana,0,Mosses
Sandpaper Skate,Bathyraja interrupta,0,Fishes
Baird's Beaked Whale,Berardius bairdii,0,Mammals
Cherry Birch,Betula lenta,0,Flowering Plants
Vancouver Island Beggarticks,Bidens amplissima,0,Flowering Plants
Plains Bison,Bison bison bison,0,Mammals
Quebec Rockcress,Boechera quebecensis,0,Flowering Plants
Rusty-patched Bumble Bee,Bombus affinis,0,Insects
Gypsy Cuckoo Bumble Bee,Bombus bohemicus,0,Insects
Western Bumble Bee occidentalis subspecies,Bombus occidentalis occidentalis,0,Insects
American Bumble Bee,Bombus pensylvanicus,0,Insects
Suckley’s Cuckoo Bumble Bee,Bombus suckleyi,0,Insects
Yellow-banded Bumble Bee,Bombus terricola,0,Insects
