Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,num_papers
Ambystoma bishopi,Reticulated flatwoods salamander,Wherever found,4,Endangered,Amphibians,1
Ambystoma californiense,California tiger Salamander,U.S.A. (CA - Santa Barbara County),8,Endangered,Amphibians,0
Ambystoma cingulatum,Frosted Flatwoods salamander,Wherever found,4,Threatened,Amphibians,1
Ambystoma macrodactylum croceum,Santa Cruz long-toed salamander,Wherever found,8,Endangered,Amphibians,0
Ambystoma mavortium stebbinsi,Sonoran tiger salamander,Wherever found,2,Endangered,Amphibians,0
Anaxyrus californicus,Arroyo (=arroyo southwestern) toad,Wherever found,8,Endangered,Amphibians,1
Anaxyrus canorus,Yosemite toad,Wherever found,8,Threatened,Amphibians,4
Batrachoseps aridus,Desert slender salamander,Wherever found,8,Endangered,Amphibians,0
Bufo hemiophrys baxteri,Wyoming Toad,Wherever found,6,Endangered,Amphibians,1
Bufo houstonensis,Houston toad,Wherever found,2,Endangered,Amphibians,2
Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender Missouri DPS,Missouri DPS,3,Endangered,Amphibians,2
Eleutherodactylus cooki,Guajon,Wherever found,4,Threatened,Amphibians,0
Eleutherodactylus jasperi,Golden coqui,Wherever found,4,Threatened,Amphibians,0
Eleutherodactylus juanariveroi,Llanero Coqui,Wherever found,4,Endangered,Amphibians,0
Eurycea chisholmensis,Salado Salamander,Wherever found,2,Threatened,Amphibians,0
Eurycea nana,San Marcos salamander,Wherever found,2,Threatened,Amphibians,0
Eurycea naufragia,Georgetown Salamander,Wherever found,2,Threatened,Amphibians,0
Eurycea rathbuni,Texas blind salamander,Wherever found,2,Endangered,Amphibians,0
Eurycea sosorum,Barton Springs salamander,Wherever found,2,Endangered,Amphibians,0
Eurycea tonkawae,Jollyville Plateau Salamander,Wherever found,2,Threatened,Amphibians,0
Eurycea waterlooensis,Austin blind Salamander,Wherever found,2,Endangered,Amphibians,0
Necturus alabamensis,Black warrior (=Sipsey Fork) Waterdog,Wherever found,4,Endangered,Amphibians,0
Necturus lewisi,Neuse River waterdog,Wherever found,4,Threatened,Amphibians,0
Peltophryne lemur,Puerto Rican crested toad,Wherever found,4,Threatened,Amphibians,0
Phaeognathus hubrichti,Red Hills salamander,Wherever found,4,Threatened,Amphibians,0
Plethodon neomexicanus,Jemez Mountains salamander,Wherever found,2,Endangered,Amphibians,0
Plethodon nettingi,Cheat Mountain salamander,Wherever found,5,Threatened,Amphibians,0
Plethodon shenandoah,Shenandoah salamander,Wherever found,5,Endangered,Amphibians,1
Rana chiricahuensis,Chiricahua leopard frog,Wherever found,2,Threatened,Amphibians,1
Rana draytonii,California red-legged frog,Wherever found,8,Threatened,Amphibians,2
Rana muscosa,Mountain yellow-legged frog,Northern California DPS,8,Endangered,Amphibians,0
Rana pretiosa,Oregon spotted frog,Wherever found,1,Threatened,Amphibians,0
Rana sevosa,dusky gopher frog,Wherever found,4,Endangered,Amphibians,3
Rana sierrae,Sierra Nevada Yellow-legged Frog,Wherever found,8,Endangered,Amphibians,0
Adelocosa anops,Kauai cave wolf or pe'e pe'e maka 'ole spider,Wherever found,1,Endangered,Arachnids,0
Cicurina baronia,Robber Baron Cave Meshweaver,Wherever found,2,Endangered,Arachnids,0
Cicurina madla,Madla Cave Meshweaver,Wherever found,2,Endangered,Arachnids,0
Cicurina venii,Braken Bat Cave meshweaver,Wherever found,2,Endangered,Arachnids,0
Cicurina vespera,Government Canyon Bat Cave meshweaver,Wherever found,2,Endangered,Arachnids,0
Microhexura montivaga,Spruce-fir moss spider,Wherever found,4,Endangered,Arachnids,0
Tartarocreagris texana,Tooth Cave pseudoscorpion,Wherever found,2,Endangered,Arachnids,0
Tayshaneta microps,Government Canyon Bat Cave spider,Wherever found,2,Endangered,Arachnids,0
Tayshaneta myopica,Tooth Cave spider,Wherever found,2,Endangered,Arachnids,0
Texella cokendolpheri,Cokendolpher Cave Harvestman,Wherever found,2,Endangered,Arachnids,0
Texella reddelli,Bee Creek Cave harvestman,Wherever found,2,Endangered,Arachnids,0
Texella reyesi,Bone Cave harvestman,Wherever found,2,Endangered,Arachnids,0
Accipiter striatus venator,Puerto Rican sharp-shinned hawk,Wherever found,4,Endangered,Birds,2
Acrocephalus familiaris kingi,Nihoa millerbird (old world warbler),Wherever found,1,Endangered,Birds,0
Acrocephalus luscinia,Nightingale reed warbler (old world warbler),Wherever found,1,Endangered,Birds,0
Aerodramus vanikorensis bartschi,Mariana gray swiftlet,Wherever found,1,Endangered,Birds,0
Agelaius xanthomus,Yellow-shouldered blackbird,Wherever found,4,Endangered,Birds,0
Akialoa stejnegeri,Kauai akialoa (honeycreeper),Wherever found,1,Endangered,Birds,0
Amazona vittata,Puerto Rican parrot,Wherever found,4,Endangered,Birds,0
Ammodramus maritimus mirabilis,Cape Sable seaside sparrow,Wherever found,4,Endangered,Birds,0
Ammodramus savannarum floridanus,Florida grasshopper sparrow,Wherever found,4,Endangered,Birds,2
Amphispiza belli clementeae,San Clemente sage sparrow,Wherever found,8,Threatened,Birds,0
Anas laysanensis,Laysan duck,Wherever found,1,Endangered,Birds,0
Anas wyvilliana,Hawaiian (=koloa) Duck,Wherever found,1,Endangered,Birds,0
Aphelocoma coerulescens,Florida scrub-jay,Wherever found,4,Threatened,Birds,0
Brachyramphus marmoratus,Marbled murrelet,"U.S.A. (CA, OR, WA)",1,Threatened,Birds,5
Branta (=Nesochen) sandvicensis,Hawaiian goose,Wherever found,1,Threatened,Birds,0
Buteo platypterus brunnescens,Puerto Rican broad-winged hawk,Wherever found,4,Endangered,Birds,1
Calidris canutus rufa,Red knot,Wherever found,5,Threatened,Birds,0
Campephilus principalis,Ivory-billed woodpecker,Wherever found,4,Endangered,Birds,0
Caprimulgus noctitherus,Puerto Rican nightjar,Wherever found,4,Endangered,Birds,0
Centrocercus minimus,Gunnison sage-grouse,Wherever found,6,Threatened,Birds,0
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,0
Charadrius nivosus nivosus,Western snowy plover,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",8,Threatened,Birds,0
Chasiempis ibidis,Oahu elepaio,Wherever found,1,Endangered,Birds,0
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened,Birds,5
Colinus virginianus ridgwayi,Masked bobwhite (quail),Wherever found,2,Endangered,Birds,0
Columba inornata wetmorei,Puerto Rican plain Pigeon,Wherever found,4,Endangered,Birds,0
Corvus hawaiiensis,Hawaiian (='alala) Crow,Wherever found,1,Endangered,Birds,1
Corvus kubaryi,Mariana (=aga) Crow,Wherever found,1,Endangered,Birds,0
Corvus leucognaphalus,White-necked crow,Wherever found,4,Endangered,Birds,0
